Year,Burned Area (ha),Number of Fires
2006,0,0
2007,0,0
2008,0,0
2009,2111,7
2010,2827,4
2011,4668,15
2012,11148,13
2013,2806,7
2014,999,8
2015,565,6
2016,3864,19
2017,4645,25
2018,1104,16
2019,4649,19
2020,7382,26
2021,5568,28
2022,32132,44
2023,7627,31
2024,652,8
2025,2578,14
