Year,Burned Area (ha),Number of Fires
2006,8475,8
2007,6861,19
2008,27848,11
2009,5798,10
2010,1258,4
2011,8985,11
2012,10050,34
2013,19973,37
2014,7172,23
2015,55070,88
2016,124684,265
2017,47738,157
2018,40039,253
2019,81246,322
2020,99857,472
2021,202130,288
2022,15685,62
2023,32599,174
2024,120809,662
2025,150254,401
