Year,Burned Area (ha),Number of Fires
2006,0,0
2007,56706,63
2008,6964,23
2009,181,1
2010,3349,9
2011,23397,40
2012,87688,139
2013,3459,9
2014,3203,5
2015,14989,25
2016,34485,88
2017,82852,142
2018,3113,11
2019,28634,132
2020,100107,340
2021,61628,178
2022,72899,324
2023,3211,24
2024,43571,178
2025,34386,117
