Year,Burned Area (ha),Number of Fires
2006,0,0
2007,0,0
2008,0,0
2009,129,1
2010,3551,4
2011,3690,18
2012,3061,11
2013,13247,21
2014,11532,30
2015,6162,20
2016,4523,17
2017,18998,50
2018,962,5
2019,3059,20
2020,11106,53
2021,28493,57
2022,10846,60
2023,5904,28
2024,1110,15
2025,6096,35
