Year,Burned Area (ha),Number of Fires
2006,0,0
2007,0,0
2008,0,0
2009,141869,239
2010,70189,231
2011,52105,268
2012,200980,356
2013,16861,51
2014,63426,144
2015,36895,94
2016,25288,87
2017,89794,283
2018,1554,15
2019,48106,148
2020,114704,534
2021,132784,172
2022,52556,99
2023,69590,171
2024,8158,66
2025,15221,116
