Year,Burned Area [ha],Number of Fires
2002,0.00,0
2003,3069.62,14
2004,0.00,0
2005,0.00,0
2006,2683.23,13
2007,31576.29,111
2008,5838.72,26
2009,128.79,3
2010,450.78,7
2011,12772.19,58
2012,29365.31,127
2013,729.84,3
2014,214.66,2
2015,14017.21,48
2016,686.91,2
2017,31426.03,111
2018,2876.43,10
2019,2168.05,26
2020,6954.94,39
2021,23633.92,55
2022,5323.53,23
2023,0.00,0
