Year,Burned Area (ha),Number of Fires
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,182,1
2014,0,0
2015,141,2
2016,0,0
2017,45,1
2018,45,1
2019,2159,15
2020,2931,25
2021,2298,22
2022,119,2
2023,1262,20
2024,11074,152
2025,949,18
