Year,Burned Area [ha],Number of Fires
2002,5860.18,45
2003,22710.89,75
2004,3820.92,45
2005,4851.29,46
2006,5044.48,40
2007,25115.06,84
2008,14339.20,143
2009,5645.52,71
2010,1330.88,8
2011,28292.01,220
2012,22904.08,105
2013,794.24,10
2014,1180.62,10
2015,5688.45,12
2016,3971.18,22
2017,51797.14,109
2018,1652.87,6
2019,4164.38,27
2020,11226.65,31
2021,4486.37,17
2022,13502.03,62
2023,1438.21,5
