Year,Burned Area (ha),Number of Fires
2006,291,1
2007,2526,9
2008,1947,3
2009,0,0
2010,1104,6
2011,939,3
2012,2349,8
2013,2834,7
2014,436,2
2015,197,2
2016,2738,2
2017,652,4
2018,417,6
2019,596,5
2020,3421,19
2021,6199,11
2022,2540,12
2023,1919,9
2024,3374,13
2025,13459,6
