Year,Burned Area (ha),Number of Fires
2006,0,0
2007,0,0
2008,0,0
2009,5324,9
2010,3013,1
2011,0,0
2012,0,0
2013,2852,4
2014,486,1
2015,3837,6
2016,1023,4
2017,785,3
2018,345,4
2019,1856,11
2020,3549,14
2021,4972,23
2022,218,2
2023,651,4
2024,16004,89
2025,3331,15
