Year,Burned Area (ha),Number of Fires
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,5924,7
2014,0,0
2015,0,0
2016,0,0
2017,234,3
2018,272,4
2019,667,6
2020,2615,8
2021,295,2
2022,173,3
2023,326,2
2024,200,1
2025,169,1
