Year,Burned Area [ha],Number of Fires
2002,0.00,0
2003,15627.15,91
2004,1481.14,9
2005,8865.40,45
2006,1395.28,6
2007,112717.27,224
2008,14489.46,63
2009,6439.76,30
2010,9745.50,27
2011,41407.66,160
2012,43425.45,146
2013,965.96,11
2014,321.99,8
2015,4185.84,27
2016,2962.29,8
2017,26660.61,112
2018,3992.65,20
2019,3584.80,23
2020,6031.91,29
2021,18589.44,33
2022,6740.28,35
2023,2189.52,13
